MAPID,NAME,Latitude,Longitude
SUN,Sunset,49.2186496,-123.0913758
MP,Mount Pleasant,49.263060,-123.099888
RP,Riley Park,49.244679,-123.103239
CBD,Downtown,49.279255,-123.119137
KITS,Kitsilano,49.265663,-123.166947
DS,Dunbar-Southlands,49.242361,-123.185280
KERR,Kerrisdale,49.225466,-123.157878
AR,Arbutus-Ridge,49.245938,-123.160737
WPG,West Point Grey,49.265928,-123.202077
MARP,Marpole,49.210702,-123.130159
OAK,Oakridge,49.226350,-123.123689
SHAU,Shaughnessy,49.244443,-123.140041
FAIR,Fairview,49.263421,-123.131514
SC,South Cambie,49.245246,-123.121495
WE,West End,49.285170,-123.134074
KIL,Killarney,49.220042,-123.038120
RC,Renfrew-Collingwood,49.248648,-123.040758
HS,Hastings-Sunrise,49.275951,-123.041252
VF,Victoria-Fraserview,49.220273,-123.063993
KC,Kensington-Cedar Cottage,49.246225,-123.074036
STR,Strathcona,49.273320,-123.089306
GW,Grandview-Woodland,49.274305,-123.067423