SCHOOL_NAME,LATITUDE,LONGITUDE,ADDRESS,SCHOOL_CATEGORY
Admiral Seymour Elementary,49.27859427,-123.0803143,1130 Keefer St,Public School
Admiral Seymour StrongStart Centre,49.27859427,-123.0803143,1130 Keefer St,StrongStart BC
Alexander Academy,49.2850006001823,-123.114009854193,688 W Hastings St,Independent School
Anchor Point Montessori,49.277061848292,-123.130918922266,1351 Hornby St,Independent School
BC Children's Adol. Psych. Unit,49.239630962,-123.12579096,5025 Willow St,Public School
BC Childrens Hosp School Program,49.239630962,-123.12579096,5025 Willow St,Public School
BCCH Eating Disorders School Program,49.239630962,-123.12579096,5025 Willow St,Public School
Bayview Community Elementary,49.266487007,-123.18233379,2251 Collingwood St,Public School
Blessed Sacrament School,49.2583379084058,-123.119390910334,3020 Heather St,Independent School
Britannia Community Elementary,49.2745120095296,-123.071378795422,1110 Cotton Drive,Public School
Britannia Community Secondary,49.2752359917843,-123.07192309841,1001 Cotton Drive,Public School
Canuck Place School Program,49.2516695267534,-123.143062399514,1690 Matthews Av,Public School
Captain James Cook Elementary,49.2193808,-123.03582905,3340 E 54th Av,Public School
Captain James Cook StrongStart Centre,49.2193808,-123.03582905,3340 E 54th Av,StrongStart BC
Carnarvon Community Elementary,49.2565874222733,-123.173557238565,3400 Balaclava St,Public School
Century High School,49.2633847590135,-123.145314402697,1788 W Broadway,Independent School
Champlain Heights Annex,49.2140784326839,-123.030549689398,7835 Champlain Crescent,Public School
Champlain Heights Annex StrongStart Cntr,49.2140784326839,-123.030549689398,7835 Champlain Crescent,StrongStart BC
Champlain Heights Community Elementary,49.220640302,-123.02774835,6955 Frontenac St,Public School
Charles Dickens Annex,49.250213062,-123.08271031,3877 Glen Drive,Public School
Charles Dickens Elementary,49.2548545009348,-123.082390632702,1010 E 17th Av,Public School
Chief Maquinna Annex,49.266421544,-123.04511809,2882 E 4th Av,Public School
Chief Maquinna Elementary,49.267886314,-123.05058984,2684 E 2nd Av,Public School
Chief Maquinna StrongStart Centre,49.267886314,-123.05058984,2684 E 2nd Av,StrongStart BC
Children's Hearing and Speech Centre BC,49.2523579694012,-123.048349437246,3575 Kaslo St,Independent School
Collingwood Neighbourhood School,49.2363486,-123.032313,3417 Euclid Av,Public School
Collingwood StrongStart Centre,49.2363486,-123.032313,3417 Euclid Av,StrongStart BC
Columbia College,49.2715596220529,-123.095077685046,438 Terminal Av,Independent School
Continuing Ed SD 39,49.2632998832549,-123.140260520019,1580 W Broadway,Public School
Corpus Christi School,49.2264061050907,-123.057583540366,6344 Nanaimo St,Independent School
Crofton House,49.233677834517,-123.177218159076,3200 W 41st Av,Independent School
Crosstown Elementary,49.278631,-123.106594,55 Expo Blvd,Public School
David Livingstone Elementary,49.250753337,-123.09798144,315 E 23rd Av,Public School
David Lloyd George Elementary,49.209962412,-123.13634891,8370 Cartier St,Public School
David Lloyd George StrongStart Centre,49.209962412,-123.13634891,8370 Cartier St,StrongStart BC
David Oppenheimer Elementary,49.2133181112521,-123.058293310213,2421 Scarboro Av,Public School
David Thompson Secondary,49.220439257,-123.0706316,1755 E 55th Av,Public School
Dr A R Lord Elementary,49.2796404851544,-123.03951720288,555 Lillooet St,Public School
Dr Annie B Jamieson Elementary,49.226906936,-123.12100426,6350 Tisdall St,Public School
Dr George M Weir Elementary,49.22957876,-123.04440254,2900 E 44th Av,Public School
Dr H N MacCorkindale Elementary,49.2279901864655,-123.029355035116,6100 Battison St,Public School
Dr R E McKechnie Elementary,49.21770659,-123.15401133,7455 Maple St,Public School
Ecole Jules Quesnel Elementary,49.259567806,-123.19253813,3050 Crown St,Public School
Edith Cavell Elementary,49.25290711,-123.11722884,500 W 20th Av,Public School
Elsie Roy Elementary,49.272238,-123.122482,150 Drake St,Public School
Emily Carr Elementary,49.250041653,-123.12609641,4070 Oak St,Public School
Eric Hamber Secondary,49.239630962,-123.12579096,5025 Willow St,Public School
False Creek Elementary,49.267103112,-123.12685921,900 School Green,Public School
Family Montessori School,49.2676679832589,-123.198246023388,4196 W 4th Av,Independent School
Florence Nightingale Elementary,49.260059325,-123.09371757,2740 Guelph St,Public School
Florence Nightingale StrongStart Centre,49.260059325,-123.09371757,2740 Guelph St,StrongStart BC
Fraser Academy,49.2626607051257,-123.157275960823,2294 W 10th Av,Independent School
G F Strong School Program,49.239630962,-123.12579096,5025 Willow St,Public School
G T Cunningham Elementary,49.236732227,-123.05745595,2330 E 37th Av,Public School
Garibaldi Annex,49.275416392,-123.05026877,1025 Slocan St,Public School
General Brock Elementary,49.241215222,-123.10063141,4860 Main St,Public School
General Gordon Elementary,49.265979903,-123.17067418,2896 W 6th Av,Public School
General Wolfe Elementary,49.247228707,-123.10596494,4251 Ontario St,Public School
Gladstone Secondary,49.247612036,-123.06163307,4105 Gladstone St,Public School
Graham Bruce Community Elementary,49.242069088,-123.02567271,3633 Tanner St,Public School
Grandview Elementary,49.26619317,-123.0743697,2055 Woodland Dr,Public School
Hastings Community Elementary,49.2826109608204,-123.050577408683,2625 Franklin St,Public School
Henry Hudson Elementary,49.272245879,-123.14935629,1551 Cypress St,Public School
Immaculate Conception School,49.2475906134166,-123.187707519251,3745 W 28th Av,Independent School
Ivy Montessori School,49.2381148017827,-123.162098287234,2490 W 37th Av,Independent School
J.W. Sexsmith Community Elementary,49.217267793,-123.10879442,7455 Ontario St,Public School
John Henderson Annex,49.221042144,-123.08804322,801 E 54th Av,Public School
John Henderson Elementary,49.222569589,-123.09527169,451 E 53rd Av,Public School
John Henderson StrongStart Centre,49.221042144,-123.08804322,801 E 54th Av,StrongStart BC
John Norquay Elementary,49.241424696,-123.0516408,4710 Slocan St,Public School
John Oliver Secondary,49.231957151,-123.09279776,530 E 41st Av,Public School
Kerrisdale Annex,49.232868,-123.177405,3250 W 43rd Av,Public School
Kerrisdale Elementary,49.236168246,-123.17345921,5555 Carnarvon St,Public School
Killarney Secondary,49.225300105,-123.04415722,6454 Killarney St,Public School
King David High School,49.2334481832618,-123.122790939785,5718 Willow St,Independent School
King George Secondary,49.289824153,-123.13644517,1755 Barclay St,Public School
Kitsilano Secondary,49.262654773,-123.16358941,2550 W 10th Av,Public School
L'Ecole Bilingue Elementary,49.258084034,-123.1303864,1166 W 14th Av,Public School
Laura Secord Elementary,49.261735704,-123.06022338,2500 Lakewood Drive,Public School
Little Flower Academy,49.2484313427519,-123.142261499139,4195 Alexandra St,Independent School
Lord Beaconsfield Elementary,49.252138376,-123.05269627,3663 Penticton St,Public School
Lord Byng Secondary,49.2595665510185,-123.192530952998,3939 W 16th Av,Public School
Lord Kitchener Elementary,49.250581807306,-123.180245562639,3455 W King Edward Av,Public School
Lord Nelson Elementary,49.272507738,-123.05971209,2235 Kitchener St,Public School
Lord Nelson StrongStart Centre,49.272507738,-123.05971209,2235 Kitchener St,StrongStart BC
Lord Roberts Annex,49.283091711,-123.12980601,1150 Nelson St,Public School
Lord Roberts Elementary,49.286785283,-123.13784476,1100 Bidwell St,Public School
Lord Selkirk Annex,49.245320775,-123.07246012,4444 Dumfries St,Public School
Lord Selkirk Elementary,49.249691953,-123.06900705,1750 E 22nd Av,Public School
Lord Selkirk StrongStart Centre,49.249691953,-123.06900705,1750 E 22nd Av,StrongStart BC
Lord Strathcona Community Elementary,49.2798115155978,-123.091476792421,592 E Pender St,Public School
Lord Tennyson Elementary,49.262518935,-123.14937705,1936 W 10th Av,Public School
MacDonald StrongStart Centre,49.28072391,-123.06467911,1950 E Hastings St,StrongStart BC
Madrona School,49.263528261733,-123.166010555295,2678 W Broadway,Independent School
Magee Secondary,49.2285538659929,-123.151537987609,6360 Maple St,Public School
Maple Grove Elementary,49.2294087,-123.15151486,6199 Cypress St,Public School
Mount Pleasant Elementary,49.263965733,-123.09399954,2300 Guelph St,Public School
Mount Pleasant StrongStart Centre,49.263965733,-123.09399954,2300 Guelph St,StrongStart BC
Nootka Community Elementary,49.253592971,-123.04294917,3375 Nootka St,Public School
Norma Rose Point School,49.257791773,-123.20112784,4102 W 16th Av,Public School
Notre Dame Regional Secondary,49.275802840281,-123.045566628089,2880 Venables St,Independent School
Our Lady of Perpetual Help,49.2641350716028,-123.196179430976,2550 Camosun St,Independent School
Our Lady of Sorrows,49.2795712169531,-123.050153704728,575 Slocan St,Independent School
PALS Autism School,49.2805148104608,-123.055954329925,2409 E Pender St,Independent School
Pacific Rim Montessori Academy,49.2697857991998,-123.162443645107,1819 Larch St,Independent School
Pacific Spirit School,49.2676679832589,-123.198246023388,4196 W 4th Av,Independent School
Pacific Torah Institute,49.2334215672578,-123.127612255099,5750 Oak St,Independent School
Pacific Torah Institute International,49.2334215672578,-123.127612255099,5750 Oak St,Independent School
Pattison High School,49.2810836218889,-123.125113318283,981 Nelson St,Independent School
Pattison School,49.2810836218889,-123.125113318283,981 Nelson St,Independent School
Peak House,49.2632998832549,-123.140260520019,1580 W Broadway,Public School
Pierre Elliott Trudeau Elementary,49.214454005,-123.096959,449 E 62nd Av,Public School
Point Grey Secondary,49.2372890370463,-123.153430604364,5350 East Boulevard,Public School
Prince of Wales Secondary,49.244983054,-123.15953565,2250 Eddington Drive,Public School
Prov. Early Intervention Resource Prg,49.2363486,-123.032313,3417 Euclid Av,Public School
Queen Alexandra Elementary,49.26197055,-123.07592057,1300 E Broadway ,Public School
Queen Alexandra StrongStart Centre,49.26197055,-123.07592057,1300 E Broadway,StrongStart BC
Queen Elizabeth Annex,49.24893678,-123.19469107,4275 Crown St,Public School
Queen Elizabeth Elementary,49.257791773,-123.20112784,4102 W 16th Av,Public School
Queen Mary Elementary,49.267856423,-123.20479699,2000 Trimble St,Public School
Queen Victoria Annex,49.26718785,-123.06634874,1850 E 3rd Av,Public School
Quilchena Elementary,49.237246211,-123.15157081,5300 Maple St,Public School
Renfrew Community Elementary,49.251457775,-123.03205805,3315 E 22nd Av,Public School
Royal Canadian College,49.2072420159486,-123.118607745942,8610 Ash St,Independent School
SD 39 DL Elementary,49.275416392,-123.05026877,1025 Slocan St,Public School
Shaughnessy Elementary,49.248676076,-123.14380998,4250 Marguerite St,Public School
Simon Fraser Elementary,49.2571713563496,-123.108196899433,100 W 15th Av,Public School
Sir Alexander Mackenzie Elementary,49.234536436,-123.08671432,960 E 39th Av,Public School
Sir Alexander Mackenzie StrongStart,49.234536436,-123.08671432,960 E 39th Av,StrongStart BC
Sir Charles Kingsford-Smith,49.221596674,-123.0557042,6901 Elliott St,Public School
Sir Charles Tupper Secondary,49.249753502,-123.09480948,419 E 24th Av,Public School
Sir Guy Carleton Community Elementary,49.234347747,-123.03760798,3250 Kingsway,Public School
Sir James Douglas Annex,49.214830465,-123.07329351,7668 Borden St,Public School
Sir James Douglas Elementary,49.216049329624,-123.064653176748,2150 Brigadoon Av,Public School
Sir John Franklin Community,49.282496197,-123.02758566,250S Skeena St,Public School
Sir Matthew Begbie Elementary,49.2718308007739,-123.038010037124,1430 Lillooet St,Public School
Sir Richard McBride Annex,49.2419442301445,-123.084950188923,4750 St. Catherines St,Public School
Sir Richard McBride Elementary,49.24415661,-123.07817551,1300 E 29th Av,Public School
Sir Sandford Fleming Elementary,49.22574769,-123.07657409,1401 E 49th Av,Public School
Sir Wilfred Grenfell Community,49.2428916216093,-123.034807374541,3323 Wellington Av,Public School
Sir Wilfred Grenfell StrongStart Centre,49.2428916216093,-123.034807374541,3323 Wellington Av,StrongStart BC
Sir Wilfrid Laurier Annex,49.210717996,-123.1194453,590 W 65th Av,Public School
Sir Wilfrid Laurier Elementary,49.217762535,-123.12504721,7350 Laurel St,Public School
Sir William Macdonald Community,49.28072391,-123.06467911,1950 E Hastings St,Public School
Sir William Osler Elementary,49.230762423,-123.13266216,5970 Selkirk St,Public School
Sir Winston Churchill Secondary,49.221059569,-123.12561546,7055 Heather St,Public School
Sir Wm Van Horne Elementary,49.231566487,-123.10656921,5855 Ontario St,Public School
Southlands Elementary,49.238137586,-123.19781516,5351 Camosun St,Public School
St Andrew's,49.2272136123886,-123.095855890383,450 E 47th Av,Independent School
St Anthony of Padua,49.2044649391217,-123.137007920368,1370 W 73rd Av,Independent School
St Augustine's,49.2651725524681,-123.153552242595,2145 W 8th Av,Independent School
St Francis Xavier,49.2664623120074,-123.094520644228,428 Great Northern Way,Independent School
St Francis of Assisi,49.2768816356759,-123.065048588754,870 Victoria Drive,Independent School
St George's School,49.2475822683914,-123.198464963885,4175 W 29th Av,Independent School
St John's International,49.2640409813726,-123.147898816144,1885 W Broadway,Independent School
St John's School,49.2631776724231,-123.156179142807,2215 W 10th Av,Independent School
St Joseph's,49.2559144091774,-123.071647052346,3261 Fleming St,Independent School
St Jude's,49.2565457876236,-123.04262672835,2953 E 15th Av,Independent School
St Mary's,49.2375016320813,-123.033705908929,5239 Joyce St,Independent School
St Patrick Regional Secondary,49.2614045454822,-123.10260439172,115 E 11th Av,Independent School
St Patrick's Elementary,49.259762303763,-123.102436696744,2850 Quebec St,Independent School
Stratford Hall,49.2574692164777,-123.06946327228,3000 Commercial Drive,Independent School
Sunny Hill Hospital Program,49.246512457,-123.0371743,3155 E 27th Av,Public School
Tecumseh Annex,49.237116273,-123.07309884,1551 E 37th Av,Public School
Tecumseh Elementary,49.232055743,-123.06800394,1850 E 41st Av,Public School
Templeton Secondary,49.278439094,-123.06069106,727 Templeton Drive,Public School
The Westside School,49.2775706452436,-123.113443543476,788 Beatty St,Independent School
Thunderbird Elementary,49.2636488913338,-123.031870585582,2325 Cassiar St,Public School
Thunderbird StrongStart Centre,49.2636488913338,-123.031870585582,2325 Cassiar St,StrongStart BC
Tillicum Annex StrongStart Centre,49.286263456,-123.05559853,2450 Cambridge St,StrongStart BC
Tillicum Community Annex,49.286263456,-123.05559853,2450 Cambridge St,Public School
Trafalgar Elementary,49.250178757,-123.16460607,4170 Trafalgar St,Public School
Tyee Elementary,49.253569355,-123.07382164,3525 Dumphries St,Public School
Vancouver Alternate,49.2632998832549,-123.140260520019,1580 W Broadway,Public School
Vancouver Christian,49.2547122168466,-123.028566931121,3496 Mons Drive,Independent School
Vancouver College,49.2349594197011,-123.136171334451,5400 Cartier St,Independent School
Vancouver College DL,49.2349594197011,-123.136171334451,5400 Cartier St,Independent School
Vancouver Formosa Academy,49.2337474220648,-123.04636736023,5621 Killarney St,Independent School
Vancouver Hebrew Academy,49.2154717285097,-123.141369264784,1545 W 62nd Av,Independent School
Vancouver Learning Network,49.231957151,-123.09279776,530 E 41st Av,Public School
Vancouver Montessori School,49.2077903968405,-123.14463359946,8650 Barnard St,Independent School
Vancouver Talmud Torah Elementary,49.2475796727992,-123.126822021188,998 W 26th Av,Independent School
Vancouver Technical Secondary,49.260755476,-123.05129984,2600 E Broadway,Public School
Walter Moberly Elementary,49.216109231,-123.08434542,1000 E 59th Av,Public School
Walter Moberly StrongStart Centre,49.216109231,-123.08434542,1000 E 59th Av,StrongStart BC
Waverley Elementary,49.227837226,-123.05578593,6111 Elliott St,Public School
Waverley StrongStart Centre,49.227837226,-123.05578593,6111 Elliott St,StrongStart BC
West Coast Christian School,49.2849844671666,-123.044536123333,15 N Renfrew St,Independent School
West Point Grey Academy,49.2670663460761,-123.201507393654,4125 W 8th Av,Independent School
Westside Montessori,49.2485741276852,-123.128000105036,4157 Oak St,Independent School
Westside Montessori Academy,49.256937848504,-123.050391949247,3075 Slocan St,Independent School
Windermere Community Secondary,49.246512457,-123.0371743,3155 E 27th Av,Public School
York House Little School,49.25671,-123.152101,3274 East Boulevard,Independent School
York House School,49.2488482199143,-123.140340136115,4176 Alexandra St,Independent School
